year,state,party_detailed,percent_votes
1992,ALASKA,REPUBLICAN,0.3945749808515083
1992,ALASKA,DEMOCRAT,0.3028711132430195
1996,ALASKA,REPUBLICAN,0.5080125817399221
1996,ALASKA,DEMOCRAT,0.33267113649532326
2000,ALASKA,REPUBLICAN,0.5862095531587057
2000,ALASKA,DEMOCRAT,0.27666339823504693
2004,ALASKA,REPUBLICAN,0.6106532991253942
2004,ALASKA,DEMOCRAT,0.35516861912104364
2008,ALASKA,REPUBLICAN,0.5942451953880631
2008,ALASKA,DEMOCRAT,0.37889373599389325
2012,ALASKA,REPUBLICAN,0.5480157739729447
2012,ALASKA,DEMOCRAT,0.40812659112464433
2016,ALASKA,REPUBLICAN,0.5128151207753728
2016,ALASKA,DEMOCRAT,0.36550871290111986
2020,ALASKA,DEMOCRAT,0.42771952271020497
2020,ALASKA,REPUBLICAN,0.5283314327038078
