year,state,party_detailed,percent_votes
1992,ARIZONA,REPUBLICAN,0.38473141781132836
1992,ARIZONA,DEMOCRAT,0.3652045259671481
1996,ARIZONA,DEMOCRAT,0.4651706594607681
1996,ARIZONA,REPUBLICAN,0.4429441649666585
2000,ARIZONA,REPUBLICAN,0.5102113816043696
2000,ARIZONA,DEMOCRAT,0.4473458501738885
2004,ARIZONA,REPUBLICAN,0.5486943408601376
2004,ARIZONA,DEMOCRAT,0.44396832928795554
2008,ARIZONA,REPUBLICAN,0.5363524782262724
2008,ARIZONA,DEMOCRAT,0.4511525087476428
2012,ARIZONA,REPUBLICAN,0.536545331659747
2012,ARIZONA,DEMOCRAT,0.44589766941799386
2016,ARIZONA,REPUBLICAN,0.4867161647232105
2016,ARIZONA,DEMOCRAT,0.4512602184469321
2016,ARIZONA,DEMOCRAT,1.632231123927148e-05
2020,ARIZONA,DEMOCRAT,0.49364690614366613
2020,ARIZONA,REPUBLICAN,0.4905598103046474
