year,state,party_detailed,percent_votes
1992,ARKANSAS,DEMOCRAT,0.5320795284925204
1992,ARKANSAS,REPUBLICAN,0.3548339930552999
1996,ARKANSAS,DEMOCRAT,0.5373644915194817
1996,ARKANSAS,REPUBLICAN,0.36800857664357395
2000,ARKANSAS,REPUBLICAN,0.5130719769663293
2000,ARKANSAS,DEMOCRAT,0.4586425626043496
2004,ARKANSAS,REPUBLICAN,0.5430595907843537
2004,ARKANSAS,DEMOCRAT,0.44547630445189085
2008,ARKANSAS,REPUBLICAN,0.5871590449992959
2008,ARKANSAS,DEMOCRAT,0.3886465976512423
2012,ARKANSAS,REPUBLICAN,0.6056693608410911
2012,ARKANSAS,DEMOCRAT,0.36878990301720105
2016,ARKANSAS,REPUBLICAN,0.6057410216382829
2016,ARKANSAS,DEMOCRAT,0.33653124129360934
2020,ARKANSAS,DEMOCRAT,0.34775061953014963
2020,ARKANSAS,REPUBLICAN,0.6239572985614432
