year,state,party_detailed,percent_votes
1992,CALIFORNIA,DEMOCRAT,0.46006587840280944
1992,CALIFORNIA,REPUBLICAN,0.32614669375921296
1996,CALIFORNIA,DEMOCRAT,0.5109886561852729
1996,CALIFORNIA,REPUBLICAN,0.3820942008004616
2000,CALIFORNIA,DEMOCRAT,0.5344973682775446
2000,CALIFORNIA,REPUBLICAN,0.41651496805255456
2004,CALIFORNIA,DEMOCRAT,0.5430555753467436
2004,CALIFORNIA,REPUBLICAN,0.44357695977241773
2008,CALIFORNIA,DEMOCRAT,0.6101263834713425
2008,CALIFORNIA,REPUBLICAN,0.36954858832464477
2012,CALIFORNIA,DEMOCRAT,0.6023895914168964
2012,CALIFORNIA,REPUBLICAN,0.371203785207048
2016,CALIFORNIA,DEMOCRAT,0.6172639960455788
2016,CALIFORNIA,REPUBLICAN,0.3161710653843943
2020,CALIFORNIA,DEMOCRAT,0.6348394689387351
2020,CALIFORNIA,REPUBLICAN,0.3432072362528492
