year,state,party_detailed,percent_votes
1992,COLORADO,DEMOCRAT,0.40128028651907366
1992,COLORADO,REPUBLICAN,0.35869052626212417
1996,COLORADO,REPUBLICAN,0.457964575409313
1996,COLORADO,DEMOCRAT,0.44426498409348764
2000,COLORADO,REPUBLICAN,0.507502147736722
2000,COLORADO,DEMOCRAT,0.4239350901130605
2004,COLORADO,REPUBLICAN,0.5171109535459211
2004,COLORADO,DEMOCRAT,0.47037842254288303
2008,COLORADO,DEMOCRAT,0.5366023684069159
2008,COLORADO,REPUBLICAN,0.4470752210933716
2012,COLORADO,DEMOCRAT,0.5149222655161517
2012,COLORADO,REPUBLICAN,0.4612709163904798
2016,COLORADO,DEMOCRAT,0.48156980382847403
2016,COLORADO,REPUBLICAN,0.4325139737143104
2020,COLORADO,DEMOCRAT,0.5501106714065329
2020,COLORADO,REPUBLICAN,0.4160412563491241
