year,state,party_detailed,percent_votes
1992,CONNECTICUT,DEMOCRAT,0.42218572959541034
1992,CONNECTICUT,REPUBLICAN,0.35783241221763246
1996,CONNECTICUT,DEMOCRAT,0.5283158147196567
1996,CONNECTICUT,REPUBLICAN,0.34690804487101234
2000,CONNECTICUT,DEMOCRAT,0.5590962813244035
2000,CONNECTICUT,REPUBLICAN,0.384436032270773
2004,CONNECTICUT,DEMOCRAT,0.543137089719902
2004,CONNECTICUT,REPUBLICAN,0.4394727791082799
2008,CONNECTICUT,DEMOCRAT,0.6058882967612181
2008,CONNECTICUT,REPUBLICAN,0.3822146330562694
2012,CONNECTICUT,DEMOCRAT,0.5808501325885442
2012,CONNECTICUT,REPUBLICAN,0.4074511424691504
2016,CONNECTICUT,DEMOCRAT,0.5456630109670987
2016,CONNECTICUT,REPUBLICAN,0.40926914378814777
2020,CONNECTICUT,DEMOCRAT,0.5926073151568352
2020,CONNECTICUT,REPUBLICAN,0.3918711828833072
