year,state,party_detailed,percent_votes
1992,GEORGIA,DEMOCRAT,0.4346868533599755
1992,GEORGIA,REPUBLICAN,0.4287785318635339
1996,GEORGIA,REPUBLICAN,0.4701568011469838
1996,GEORGIA,DEMOCRAT,0.4584146584952188
2000,GEORGIA,REPUBLICAN,0.5495956965137921
2000,GEORGIA,DEMOCRAT,0.4321099965624139
2004,GEORGIA,REPUBLICAN,0.5797475676698846
2004,GEORGIA,DEMOCRAT,0.41374946053378764
2008,GEORGIA,REPUBLICAN,0.5220451799292952
2008,GEORGIA,DEMOCRAT,0.46990179096065066
2012,GEORGIA,REPUBLICAN,0.5332924217752452
2012,GEORGIA,DEMOCRAT,0.45507959666882086
2016,GEORGIA,REPUBLICAN,0.50771326054771
2016,GEORGIA,DEMOCRAT,0.4563998335736082
2020,GEORGIA,DEMOCRAT,0.49473055784446274
2020,GEORGIA,REPUBLICAN,0.492374738997912
