year,state,party_detailed,percent_votes
1992,HAWAII,DEMOCRAT,0.48092757790163126
1992,HAWAII,REPUBLICAN,0.3669704593366627
1996,HAWAII,DEMOCRAT,0.5692880151060757
1996,HAWAII,REPUBLICAN,0.3164028657114295
2000,HAWAII,DEMOCRAT,0.5579166791230354
2000,HAWAII,REPUBLICAN,0.3746286869719066
2004,HAWAII,DEMOCRAT,0.5400955215809311
2004,HAWAII,REPUBLICAN,0.45264595711551864
2008,HAWAII,DEMOCRAT,0.7145291011787819
2008,HAWAII,REPUBLICAN,0.2643620193657031
2012,HAWAII,DEMOCRAT,0.7014793244563191
2012,HAWAII,REPUBLICAN,0.2768214768539593
2016,HAWAII,DEMOCRAT,0.6098079805512905
2016,HAWAII,REPUBLICAN,0.29439707172625573
2020,HAWAII,DEMOCRAT,0.6314937976901742
2020,HAWAII,REPUBLICAN,0.3395471416941482
