year,state,party_detailed,percent_votes
1992,INDIANA,REPUBLICAN,0.42906780127769506
1992,INDIANA,DEMOCRAT,0.3679390564346401
1996,INDIANA,REPUBLICAN,0.4714238015651173
1996,INDIANA,DEMOCRAT,0.41557137645749265
2000,INDIANA,REPUBLICAN,0.566468816015263
2000,INDIANA,DEMOCRAT,0.4101210293083897
2004,INDIANA,REPUBLICAN,0.5994476503665718
2004,INDIANA,DEMOCRAT,0.39262974665336575
2008,INDIANA,DEMOCRAT,0.4994591163968428
2008,INDIANA,REPUBLICAN,0.4891390717884854
2012,INDIANA,REPUBLICAN,0.5412553238022445
2012,INDIANA,DEMOCRAT,0.43927302904058396
2016,INDIANA,REPUBLICAN,0.5694003344841128
2016,INDIANA,DEMOCRAT,0.37774839686752043
2020,INDIANA,DEMOCRAT,0.4096167705971215
2020,INDIANA,REPUBLICAN,0.5702115776570512
