year,state,party_detailed,percent_votes
1992,IOWA,DEMOCRAT,0.43285838623305506
1992,IOWA,REPUBLICAN,0.37272138708865377
1996,IOWA,DEMOCRAT,0.5026096469015254
1996,IOWA,REPUBLICAN,0.3992010210076373
2000,IOWA,DEMOCRAT,0.4719191557860848
2000,IOWA,REPUBLICAN,0.4688563822317745
2004,IOWA,REPUBLICAN,0.4990065750530225
2004,IOWA,DEMOCRAT,0.4923313168421695
2008,IOWA,DEMOCRAT,0.5392802007386527
2008,IOWA,REPUBLICAN,0.4439325935530208
2012,IOWA,DEMOCRAT,0.5198801653414908
2012,IOWA,REPUBLICAN,0.46177868510536096
2016,IOWA,REPUBLICAN,0.5116206134467737
2016,IOWA,DEMOCRAT,0.41752513445496237
2020,IOWA,REPUBLICAN,0.5280019763194579
2020,IOWA,DEMOCRAT,0.4464723285866375
