year,state,party_detailed,percent_votes
1992,KANSAS,REPUBLICAN,0.38881524598266903
1992,KANSAS,DEMOCRAT,0.3373849413602757
1996,KANSAS,REPUBLICAN,0.542907009215303
1996,KANSAS,DEMOCRAT,0.3608479940426324
2000,KANSAS,REPUBLICAN,0.580416632469577
2000,KANSAS,DEMOCRAT,0.3723839226424526
2004,KANSAS,REPUBLICAN,0.620039806155473
2004,KANSAS,DEMOCRAT,0.3662309430556444
2008,KANSAS,REPUBLICAN,0.5661225434349189
2008,KANSAS,DEMOCRAT,0.41651967194013617
2012,KANSAS,REPUBLICAN,0.5971132036921613
2012,KANSAS,DEMOCRAT,0.3799457055391902
2016,KANSAS,REPUBLICAN,0.5665458180583958
2016,KANSAS,DEMOCRAT,0.36052370732234496
2020,KANSAS,REPUBLICAN,0.5621251283426474
2020,KANSAS,DEMOCRAT,0.41559553538832167
