year,state,party_detailed,percent_votes
1992,KENTUCKY,DEMOCRAT,0.4455114207247639
1992,KENTUCKY,REPUBLICAN,0.4134088016611963
1996,KENTUCKY,DEMOCRAT,0.4584217848532593
1996,KENTUCKY,REPUBLICAN,0.4488222146052302
2000,KENTUCKY,REPUBLICAN,0.565064833631888
2000,KENTUCKY,DEMOCRAT,0.4137818258591055
2004,KENTUCKY,REPUBLICAN,0.5954951383220055
2004,KENTUCKY,DEMOCRAT,0.39687072981409693
2008,KENTUCKY,REPUBLICAN,0.5739902114287592
2008,KENTUCKY,DEMOCRAT,0.4116811378392879
2012,KENTUCKY,REPUBLICAN,0.6049314159932162
2012,KENTUCKY,DEMOCRAT,0.37801327834445797
2016,KENTUCKY,REPUBLICAN,0.6251963855190009
2016,KENTUCKY,DEMOCRAT,0.3268218833364776
2020,KENTUCKY,REPUBLICAN,0.6208657186929044
2020,KENTUCKY,DEMOCRAT,0.3615151481115404
