year,state,party_detailed,percent_votes
1992,LOUISIANA,DEMOCRAT,0.4558453914124838
1992,LOUISIANA,REPUBLICAN,0.40970895807134794
1996,LOUISIANA,DEMOCRAT,0.5200999574541791
1996,LOUISIANA,REPUBLICAN,0.3994407943231879
2000,LOUISIANA,REPUBLICAN,0.5255106317425365
2000,LOUISIANA,DEMOCRAT,0.44875332454339917
2004,LOUISIANA,REPUBLICAN,0.5672202134108999
2004,LOUISIANA,DEMOCRAT,0.4221586470321228
2008,LOUISIANA,REPUBLICAN,0.5856272131075638
2008,LOUISIANA,DEMOCRAT,0.3993291380234511
2012,LOUISIANA,REPUBLICAN,0.5778457572847425
2012,LOUISIANA,DEMOCRAT,0.4057746362330215
2016,LOUISIANA,REPUBLICAN,0.580886846535688
2016,LOUISIANA,DEMOCRAT,0.3844956609851397
2020,LOUISIANA,DEMOCRAT,0.39851456801526214
2020,LOUISIANA,REPUBLICAN,0.5846088241400853
