year,state,party_detailed,percent_votes
1992,MARYLAND,DEMOCRAT,0.4981260518598394
1992,MARYLAND,REPUBLICAN,0.3562940269477673
1996,MARYLAND,DEMOCRAT,0.5425477435186173
1996,MARYLAND,REPUBLICAN,0.38269497492798465
2000,MARYLAND,DEMOCRAT,0.5648830838450493
2000,MARYLAND,REPUBLICAN,0.40184780655062285
2004,MARYLAND,DEMOCRAT,0.5597146761355201
2004,MARYLAND,REPUBLICAN,0.4297821777859425
2004,MARYLAND,DEMOCRAT,2.9359485084962155e-06
2008,MARYLAND,DEMOCRAT,0.6191934476264593
2008,MARYLAND,REPUBLICAN,0.364745196451127
2012,MARYLAND,DEMOCRAT,0.6197419077931849
2012,MARYLAND,REPUBLICAN,0.3589773233894539
2016,MARYLAND,DEMOCRAT,0.6032574423519277
2016,MARYLAND,REPUBLICAN,0.3390930472854767
2016,MARYLAND,REPUBLICAN,9.311703337041237e-05
2016,MARYLAND,DEMOCRAT,2.8042967578734227e-05
2020,MARYLAND,REPUBLICAN,0.32150291567748757
2020,MARYLAND,DEMOCRAT,0.6536066486007711
