year,state,party_detailed,percent_votes
1992,MASSACHUSETTS,DEMOCRAT,0.47541410927927824
1992,MASSACHUSETTS,REPUBLICAN,0.2902438795758967
1996,MASSACHUSETTS,DEMOCRAT,0.614720987115381
1996,MASSACHUSETTS,REPUBLICAN,0.2808799202334166
2000,MASSACHUSETTS,DEMOCRAT,0.5912612602067913
2000,MASSACHUSETTS,REPUBLICAN,0.32132902993601964
2004,MASSACHUSETTS,DEMOCRAT,0.616166602048537
2004,MASSACHUSETTS,REPUBLICAN,0.3658840187124994
2008,MASSACHUSETTS,DEMOCRAT,0.6136319910280229
2008,MASSACHUSETTS,REPUBLICAN,0.3573495928933176
2012,MASSACHUSETTS,DEMOCRAT,0.6033830832021647
2012,MASSACHUSETTS,REPUBLICAN,0.37319122315334863
2016,MASSACHUSETTS,DEMOCRAT,0.5905006509667129
2016,MASSACHUSETTS,REPUBLICAN,0.3228620279085515
2020,MASSACHUSETTS,DEMOCRAT,0.6512298370286536
2020,MASSACHUSETTS,REPUBLICAN,0.3190815758863096
