year,state,party_detailed,percent_votes
1992,MICHIGAN,DEMOCRAT,0.43773687484399393
1992,MICHIGAN,REPUBLICAN,0.36375647915056897
1996,MICHIGAN,DEMOCRAT,0.5169482057469723
1996,MICHIGAN,REPUBLICAN,0.3848459433533809
2000,MICHIGAN,DEMOCRAT,0.5127979887069135
2000,MICHIGAN,REPUBLICAN,0.46146214732140645
2004,MICHIGAN,DEMOCRAT,0.5123070672905647
2004,MICHIGAN,REPUBLICAN,0.4781205855781017
2008,MICHIGAN,DEMOCRAT,0.5743324730745946
2008,MICHIGAN,REPUBLICAN,0.40959705661952706
2012,MICHIGAN,DEMOCRAT,0.5420820421051875
2012,MICHIGAN,REPUBLICAN,0.4471091602742022
2016,MICHIGAN,REPUBLICAN,0.47497564219996147
2016,MICHIGAN,DEMOCRAT,0.4727453095086684
2020,MICHIGAN,DEMOCRAT,0.5062081829082437
2020,MICHIGAN,REPUBLICAN,0.4783729069113762
