year,state,party_detailed,percent_votes
1992,MONTANA,DEMOCRAT,0.3763112452293446
1992,MONTANA,REPUBLICAN,0.3512249654759208
1996,MONTANA,REPUBLICAN,0.44131540742305625
1996,MONTANA,DEMOCRAT,0.41250064483164367
2000,MONTANA,REPUBLICAN,0.584394602249225
2000,MONTANA,DEMOCRAT,0.3336512679264014
2004,MONTANA,REPUBLICAN,0.5906814316858852
2004,MONTANA,DEMOCRAT,0.3856502839483698
2008,MONTANA,REPUBLICAN,0.495324509445858
2008,MONTANA,DEMOCRAT,0.4726846477008176
2012,MONTANA,REPUBLICAN,0.553515353849205
2012,MONTANA,DEMOCRAT,0.41698137374805805
2016,MONTANA,REPUBLICAN,0.5646619186857719
2016,MONTANA,DEMOCRAT,0.35935218775150346
2020,MONTANA,REPUBLICAN,0.5691846924002028
2020,MONTANA,DEMOCRAT,0.4054936936160908
