year,state,party_detailed,percent_votes
1992,NEBRASKA,REPUBLICAN,0.4659750035929962
1992,NEBRASKA,DEMOCRAT,0.29403454157435605
1996,NEBRASKA,REPUBLICAN,0.5365499730593506
1996,NEBRASKA,DEMOCRAT,0.34950658016134867
2000,NEBRASKA,REPUBLICAN,0.6224536203460738
2000,NEBRASKA,DEMOCRAT,0.33253039013283714
2004,NEBRASKA,REPUBLICAN,0.6589864119889075
2004,NEBRASKA,DEMOCRAT,0.3268216082016382
2008,NEBRASKA,REPUBLICAN,0.5653185336979162
2008,NEBRASKA,DEMOCRAT,0.415982657769247
2012,NEBRASKA,REPUBLICAN,0.5980319217904804
2012,NEBRASKA,DEMOCRAT,0.38027314417928976
2016,NEBRASKA,REPUBLICAN,0.5874735112712576
2016,NEBRASKA,DEMOCRAT,0.33698756377135536
2020,NEBRASKA,REPUBLICAN,0.5822416333205421
2020,NEBRASKA,DEMOCRAT,0.39166630941787967
