year,state,party_detailed,percent_votes
1992,NEVADA,DEMOCRAT,0.3735754999822246
1992,NEVADA,REPUBLICAN,0.34726792253089955
1996,NEVADA,DEMOCRAT,0.43933496884416484
1996,NEVADA,REPUBLICAN,0.4291471292046377
2000,NEVADA,REPUBLICAN,0.49485089247915254
2000,NEVADA,DEMOCRAT,0.4594126276200884
2004,NEVADA,REPUBLICAN,0.504696915453111
2004,NEVADA,DEMOCRAT,0.4787804051895702
2008,NEVADA,DEMOCRAT,0.551466759243187
2008,NEVADA,REPUBLICAN,0.42654115108984053
2012,NEVADA,DEMOCRAT,0.5235624947040056
2012,NEVADA,REPUBLICAN,0.4567531564126363
2016,NEVADA,DEMOCRAT,0.4791782367811904
2016,NEVADA,REPUBLICAN,0.4550069531760242
2020,NEVADA,REPUBLICAN,0.4766624732455941
2020,NEVADA,DEMOCRAT,0.5005678195728402
