year,state,party_detailed,percent_votes
1992,NEW HAMPSHIRE,DEMOCRAT,0.38911795091350765
1992,NEW HAMPSHIRE,REPUBLICAN,0.37691427082266876
1996,NEW HAMPSHIRE,DEMOCRAT,0.4957057734944029
1996,NEW HAMPSHIRE,REPUBLICAN,0.395664895277257
2000,NEW HAMPSHIRE,REPUBLICAN,0.4807030985044308
2000,NEW HAMPSHIRE,DEMOCRAT,0.46803179160787306
2004,NEW HAMPSHIRE,DEMOCRAT,0.5020161082255741
2004,NEW HAMPSHIRE,REPUBLICAN,0.4883434298460681
2008,NEW HAMPSHIRE,DEMOCRAT,0.5412689705613458
2008,NEW HAMPSHIRE,REPUBLICAN,0.44521428470962204
2012,NEW HAMPSHIRE,DEMOCRAT,0.5197968415071198
2012,NEW HAMPSHIRE,REPUBLICAN,0.4640379649268888
2016,NEW HAMPSHIRE,DEMOCRAT,0.46826262669690555
2016,NEW HAMPSHIRE,REPUBLICAN,0.46458666981953417
2020,NEW HAMPSHIRE,REPUBLICAN,0.45356259504677604
2020,NEW HAMPSHIRE,DEMOCRAT,0.5270782528014766
