year,state,party_detailed,percent_votes
1992,NEW MEXICO,DEMOCRAT,0.45898846638338486
1992,NEW MEXICO,REPUBLICAN,0.37338460944654783
1996,NEW MEXICO,DEMOCRAT,0.4918320223567367
1996,NEW MEXICO,REPUBLICAN,0.4185611986893831
2000,NEW MEXICO,DEMOCRAT,0.47908554054844177
2000,NEW MEXICO,REPUBLICAN,0.47847411899332615
2004,NEW MEXICO,REPUBLICAN,0.498384247604138
2004,NEW MEXICO,DEMOCRAT,0.490466796420487
2008,NEW MEXICO,DEMOCRAT,0.5690748026279335
2008,NEW MEXICO,REPUBLICAN,0.4177903483433274
2012,NEW MEXICO,DEMOCRAT,0.5299276052046678
2012,NEW MEXICO,REPUBLICAN,0.4284332663909013
2016,NEW MEXICO,DEMOCRAT,0.48255647178634103
2016,NEW MEXICO,REPUBLICAN,0.40042514333242724
2020,NEW MEXICO,DEMOCRAT,0.5428928584957222
2020,NEW MEXICO,REPUBLICAN,0.43496669246129455
