year,state,party_detailed,percent_votes
1992,NEW YORK,DEMOCRAT,0.4727630691275797
1992,NEW YORK,REPUBLICAN,0.2883974307543317
1996,NEW YORK,DEMOCRAT,0.5667893903041855
1996,NEW YORK,REPUBLICAN,0.27002207907311687
2000,NEW YORK,DEMOCRAT,0.566392704823055
2000,NEW YORK,REPUBLICAN,0.32449816564574513
2004,NEW YORK,DEMOCRAT,0.5613058126549186
2004,NEW YORK,REPUBLICAN,0.376865299923499
2008,NEW YORK,DEMOCRAT,0.6015696154075767
2008,NEW YORK,REPUBLICAN,0.313172371111752
2012,NEW YORK,DEMOCRAT,0.6076098417487449
2012,NEW YORK,REPUBLICAN,0.312415973282314
2016,NEW YORK,DEMOCRAT,0.5613614259984896
2016,NEW YORK,REPUBLICAN,0.32390602305742927
2020,NEW YORK,DEMOCRAT,0.603918845358349
2020,NEW YORK,REPUBLICAN,0.3746129384009093
