year,state,party_detailed,percent_votes
1992,NORTH CAROLINA,REPUBLICAN,0.43442808737102057
1992,NORTH CAROLINA,DEMOCRAT,0.42653368302161304
1996,NORTH CAROLINA,REPUBLICAN,0.4872941366328975
1996,NORTH CAROLINA,DEMOCRAT,0.4403553213740164
2000,NORTH CAROLINA,REPUBLICAN,0.559577562873286
2000,NORTH CAROLINA,DEMOCRAT,0.43145671168683253
2004,NORTH CAROLINA,REPUBLICAN,0.5601719733779452
2004,NORTH CAROLINA,DEMOCRAT,0.435831462205017
2008,NORTH CAROLINA,DEMOCRAT,0.49703666399047425
2008,NORTH CAROLINA,REPUBLICAN,0.49374798618648613
2012,NORTH CAROLINA,REPUBLICAN,0.5039306410214295
2012,NORTH CAROLINA,DEMOCRAT,0.48350968577067555
2016,NORTH CAROLINA,REPUBLICAN,0.49828094696180414
2016,NORTH CAROLINA,DEMOCRAT,0.46172866168209475
2020,NORTH CAROLINA,REPUBLICAN,0.4993433248829551
2020,NORTH CAROLINA,DEMOCRAT,0.4858621177736324
