year,state,party_detailed,percent_votes
1992,OHIO,DEMOCRAT,0.4018128056321024
1992,OHIO,REPUBLICAN,0.383466124368847
1996,OHIO,DEMOCRAT,0.4737574744720069
1996,OHIO,REPUBLICAN,0.4101687222705193
2000,OHIO,REPUBLICAN,0.4998647383516539
2000,OHIO,DEMOCRAT,0.46440428090356484
2004,OHIO,REPUBLICAN,0.508140243355296
2004,OHIO,DEMOCRAT,0.48706685243153625
2008,OHIO,DEMOCRAT,0.5150427006052537
2008,OHIO,REPUBLICAN,0.4691057836327485
2012,OHIO,DEMOCRAT,0.5066674765831987
2012,OHIO,REPUBLICAN,0.47688440878422567
2016,OHIO,REPUBLICAN,0.5168765067578619
2016,OHIO,DEMOCRAT,0.4355807627672002
2020,OHIO,REPUBLICAN,0.5327130010087464
2020,OHIO,DEMOCRAT,0.45239338340705026
