year,state,party_detailed,percent_votes
1992,OKLAHOMA,REPUBLICAN,0.4264574832830945
1992,OKLAHOMA,DEMOCRAT,0.3402473749585539
1996,OKLAHOMA,REPUBLICAN,0.48256296236139
1996,OKLAHOMA,DEMOCRAT,0.40449137450247075
2000,OKLAHOMA,REPUBLICAN,0.603078521084823
2000,OKLAHOMA,DEMOCRAT,0.38426904569573395
2004,OKLAHOMA,REPUBLICAN,0.6557040166475606
2004,OKLAHOMA,DEMOCRAT,0.3442959833524394
2008,OKLAHOMA,REPUBLICAN,0.656450811226935
2008,OKLAHOMA,DEMOCRAT,0.343549188773065
2012,OKLAHOMA,REPUBLICAN,0.6677231974301656
2012,OKLAHOMA,DEMOCRAT,0.3322768025698344
2016,OKLAHOMA,REPUBLICAN,0.6532286481962736
2016,OKLAHOMA,DEMOCRAT,0.2893168028454389
2020,OKLAHOMA,REPUBLICAN,0.6537327184806295
2020,OKLAHOMA,DEMOCRAT,0.32286174335986634
