year,state,party_detailed,percent_votes
1992,OREGON,DEMOCRAT,0.42478855058958337
1992,OREGON,REPUBLICAN,0.32527212723815724
1996,OREGON,DEMOCRAT,0.4715197131575891
1996,OREGON,REPUBLICAN,0.3905992335384973
2000,OREGON,DEMOCRAT,0.46959940024120733
2000,OREGON,REPUBLICAN,0.46518921737996677
2004,OREGON,DEMOCRAT,0.5134866304221187
2004,OREGON,REPUBLICAN,0.47192916742433233
2008,OREGON,DEMOCRAT,0.5674880625692065
2008,OREGON,REPUBLICAN,0.40400981692292204
2012,OREGON,DEMOCRAT,0.54239326652769
2012,OREGON,REPUBLICAN,0.42149871176513326
2016,OREGON,DEMOCRAT,0.5007185200286208
2016,OREGON,REPUBLICAN,0.39094035184496756
2020,OREGON,REPUBLICAN,0.4036724604634335
2020,OREGON,DEMOCRAT,0.5645331865404888
