year,state,party_detailed,percent_votes
1992,RHODE ISLAND,DEMOCRAT,0.4704796356136888
1992,RHODE ISLAND,REPUBLICAN,0.29027604689378317
1996,RHODE ISLAND,DEMOCRAT,0.5971858848370392
1996,RHODE ISLAND,REPUBLICAN,0.26824805828103737
2000,RHODE ISLAND,DEMOCRAT,0.6098770018967911
2000,RHODE ISLAND,REPUBLICAN,0.31911799213907194
2004,RHODE ISLAND,DEMOCRAT,0.5942342622628302
2004,RHODE ISLAND,REPUBLICAN,0.3867143713369356
2008,RHODE ISLAND,DEMOCRAT,0.6286400461245617
2008,RHODE ISLAND,REPUBLICAN,0.35057846474735355
2012,RHODE ISLAND,DEMOCRAT,0.627009588632639
2012,RHODE ISLAND,REPUBLICAN,0.35243661570813967
2016,RHODE ISLAND,DEMOCRAT,0.5440660657037472
2016,RHODE ISLAND,REPUBLICAN,0.3889805749939674
2020,RHODE ISLAND,DEMOCRAT,0.5947619876593357
2020,RHODE ISLAND,REPUBLICAN,0.38670380471575855
