year,state,party_detailed,percent_votes
1992,UTAH,REPUBLICAN,0.4336463270062554
1992,UTAH,DEMOCRAT,0.24654501759413333
1996,UTAH,REPUBLICAN,0.54371278895601
1996,UTAH,DEMOCRAT,0.3329677643251721
2000,UTAH,REPUBLICAN,0.6683014295092857
2000,UTAH,DEMOCRAT,0.26344722181136915
2004,UTAH,REPUBLICAN,0.7153594785330293
2004,UTAH,DEMOCRAT,0.25995641508701894
2008,UTAH,REPUBLICAN,0.6258386971450172
2008,UTAH,DEMOCRAT,0.3440574566607516
2012,UTAH,REPUBLICAN,0.727905331026891
2012,UTAH,DEMOCRAT,0.2474966582796037
2016,UTAH,REPUBLICAN,0.4554081658810042
2016,UTAH,DEMOCRAT,0.2746126859226901
2020,UTAH,DEMOCRAT,0.37646048583306063
2020,UTAH,REPUBLICAN,0.5812983902991959
