year,state,party_detailed,percent_votes
1992,VIRGINIA,REPUBLICAN,0.4495736635394308
1992,VIRGINIA,DEMOCRAT,0.4058607440265809
1996,VIRGINIA,REPUBLICAN,0.471046187230049
1996,VIRGINIA,DEMOCRAT,0.45147771163457395
2000,VIRGINIA,REPUBLICAN,0.5247372918694905
2000,VIRGINIA,DEMOCRAT,0.4443561054475593
2004,VIRGINIA,REPUBLICAN,0.5373195656902156
2004,VIRGINIA,DEMOCRAT,0.4552591760381672
2008,VIRGINIA,DEMOCRAT,0.5262946987317566
2008,VIRGINIA,REPUBLICAN,0.46330500690255316
2012,VIRGINIA,DEMOCRAT,0.5115645679621864
2012,VIRGINIA,REPUBLICAN,0.4728310289638912
2016,VIRGINIA,DEMOCRAT,0.49751352833417695
2016,VIRGINIA,REPUBLICAN,0.44427647013924043
2020,VIRGINIA,DEMOCRAT,0.5410951717780242
2020,VIRGINIA,REPUBLICAN,0.4399550366728214
