year,state,party_detailed,percent_votes
1992,WISCONSIN,DEMOCRAT,0.4113155574098482
1992,WISCONSIN,REPUBLICAN,0.36777220963199664
1996,WISCONSIN,DEMOCRAT,0.48810952162606797
1996,WISCONSIN,REPUBLICAN,0.3847741225743556
2000,WISCONSIN,DEMOCRAT,0.47832819660687437
2000,WISCONSIN,REPUBLICAN,0.4761316351414431
2004,WISCONSIN,DEMOCRAT,0.49699717084411216
2004,WISCONSIN,REPUBLICAN,0.49319871458425024
2008,WISCONSIN,DEMOCRAT,0.5621778651794235
2008,WISCONSIN,REPUBLICAN,0.4231366248834809
2012,WISCONSIN,DEMOCRAT,0.5277616253515459
2012,WISCONSIN,REPUBLICAN,0.4593834671361976
2016,WISCONSIN,REPUBLICAN,0.4721818456731012
2016,WISCONSIN,DEMOCRAT,0.4645384137224266
2020,WISCONSIN,DEMOCRAT,0.4944953686142774
2020,WISCONSIN,REPUBLICAN,0.48822437319608825
