year,state,party_detailed,percent_votes
1992,ALABAMA,REPUBLICAN,0.4764540359939813
1992,ALABAMA,DEMOCRAT,0.4088006350485172
1996,ALABAMA,REPUBLICAN,0.5012184320516389
1996,ALABAMA,DEMOCRAT,0.4315608769582409
2000,ALABAMA,REPUBLICAN,0.5648375535326765
2000,ALABAMA,DEMOCRAT,0.4156650294789806
2004,ALABAMA,REPUBLICAN,0.6246068975770077
2004,ALABAMA,DEMOCRAT,0.36844402322377173
2008,ALABAMA,REPUBLICAN,0.603169130291706
2008,ALABAMA,DEMOCRAT,0.38740434294574916
2012,ALABAMA,REPUBLICAN,0.6054582232982282
2012,ALABAMA,DEMOCRAT,0.3835903309875247
2016,ALABAMA,REPUBLICAN,0.6208309236440906
2016,ALABAMA,DEMOCRAT,0.3435794575797364
2020,ALABAMA,DEMOCRAT,0.36569990212122333
2020,ALABAMA,REPUBLICAN,0.620316431668648
