year,state,party_detailed,percent_votes
1992,DELAWARE,DEMOCRAT,0.43523927905531384
1992,DELAWARE,REPUBLICAN,0.35326634900904635
1996,DELAWARE,DEMOCRAT,0.518278497839814
1996,DELAWARE,REPUBLICAN,0.3657988995975038
2000,DELAWARE,DEMOCRAT,0.5497772716309091
2000,DELAWARE,REPUBLICAN,0.4191628832866708
2004,DELAWARE,DEMOCRAT,0.5334683760228152
2004,DELAWARE,REPUBLICAN,0.4575281857192356
2008,DELAWARE,DEMOCRAT,0.6194266898150393
2008,DELAWARE,REPUBLICAN,0.36947033548975294
2012,DELAWARE,DEMOCRAT,0.5861074198458528
2012,DELAWARE,REPUBLICAN,0.39982604073546113
2016,DELAWARE,DEMOCRAT,0.5335333680563419
2016,DELAWARE,REPUBLICAN,0.41922824339319276
2020,DELAWARE,DEMOCRAT,0.5874300579364167
2020,DELAWARE,REPUBLICAN,0.3977487677110555
