year,state,party_detailed,percent_votes
1992,IDAHO,REPUBLICAN,0.4203258980241188
1992,IDAHO,DEMOCRAT,0.2841921205358069
1996,IDAHO,REPUBLICAN,0.521841081448249
1996,IDAHO,DEMOCRAT,0.3364638985094903
2000,IDAHO,REPUBLICAN,0.6717043948047806
2000,IDAHO,DEMOCRAT,0.27638128843834414
2004,IDAHO,REPUBLICAN,0.6839094482399026
2004,IDAHO,DEMOCRAT,0.3026491704212736
2008,IDAHO,REPUBLICAN,0.6151709147303861
2008,IDAHO,DEMOCRAT,0.3609098763283785
2012,IDAHO,REPUBLICAN,0.6452978349589283
2012,IDAHO,DEMOCRAT,0.3262233355920978
2016,IDAHO,REPUBLICAN,0.5926143236919689
2016,IDAHO,DEMOCRAT,0.27492013820979205
2020,IDAHO,DEMOCRAT,0.33066402154803953
2020,IDAHO,REPUBLICAN,0.6383756483190364
