year,state,party_detailed,percent_votes
1992,ILLINOIS,DEMOCRAT,0.48579677819917283
1992,ILLINOIS,REPUBLICAN,0.3433746713220995
1996,ILLINOIS,DEMOCRAT,0.5431527783028726
1996,ILLINOIS,REPUBLICAN,0.3680995298269166
2000,ILLINOIS,DEMOCRAT,0.545965212095549
2000,ILLINOIS,REPUBLICAN,0.42584879973210227
2004,ILLINOIS,DEMOCRAT,0.5482316020902781
2004,ILLINOIS,REPUBLICAN,0.4447862682634849
2008,ILLINOIS,DEMOCRAT,0.6191811452001323
2008,ILLINOIS,REPUBLICAN,0.36780922542147204
2012,ILLINOIS,DEMOCRAT,0.5760213536247709
2012,ILLINOIS,REPUBLICAN,0.407327412708169
2016,ILLINOIS,DEMOCRAT,0.558253666987933
2016,ILLINOIS,REPUBLICAN,0.3876175307382527
2020,ILLINOIS,DEMOCRAT,0.5754164537667581
2020,ILLINOIS,REPUBLICAN,0.40553450818173725
