year,state,party_detailed,percent_votes
1992,MAINE,DEMOCRAT,0.3876679730212995
1992,MAINE,REPUBLICAN,0.30390626034769735
1996,MAINE,DEMOCRAT,0.5162395588689167
1996,MAINE,REPUBLICAN,0.3076067384390416
2000,MAINE,DEMOCRAT,0.4908601647394898
2000,MAINE,REPUBLICAN,0.43971850994987854
2004,MAINE,DEMOCRAT,0.5357285569259347
2004,MAINE,REPUBLICAN,0.44576457437846945
2008,MAINE,DEMOCRAT,0.5770573729797597
2008,MAINE,REPUBLICAN,0.40384018337908234
2012,MAINE,DEMOCRAT,0.5537103419348252
2012,MAINE,REPUBLICAN,0.40327392039825705
2016,MAINE,DEMOCRAT,0.4634521409730895
2016,MAINE,REPUBLICAN,0.43476678084498865
2020,MAINE,DEMOCRAT,0.5252557934577239
2020,MAINE,REPUBLICAN,0.43551228110418266
