year,state,party_detailed,percent_votes
1992,MINNESOTA,DEMOCRAT,0.4348465127847806
1992,MINNESOTA,REPUBLICAN,0.3185083315303405
1996,MINNESOTA,DEMOCRAT,0.5110075658200806
1996,MINNESOTA,REPUBLICAN,0.3495542971194422
2000,MINNESOTA,REPUBLICAN,0.4550235065209324
2004,MINNESOTA,REPUBLICAN,0.47613533791521456
2008,MINNESOTA,DEMOCRAT,0.5406029269827984
2008,MINNESOTA,REPUBLICAN,0.43822931044139074
2012,MINNESOTA,REPUBLICAN,0.4495820110666865
2016,MINNESOTA,DEMOCRAT,0.4644503396176695
2016,MINNESOTA,REPUBLICAN,0.4492519310427733
2020,MINNESOTA,REPUBLICAN,0.4528494240916937
2020,MINNESOTA,DEMOCRAT,0.5239509930974001
