year,state,party_detailed,percent_votes
1992,MISSISSIPPI,REPUBLICAN,0.4968389467026145
1992,MISSISSIPPI,DEMOCRAT,0.40768064143867394
1996,MISSISSIPPI,REPUBLICAN,0.4920675231049262
1996,MISSISSIPPI,DEMOCRAT,0.4408110022072882
2000,MISSISSIPPI,REPUBLICAN,0.5761951509982056
2000,MISSISSIPPI,DEMOCRAT,0.40698100150475164
2004,MISSISSIPPI,REPUBLICAN,0.5901437414899142
2004,MISSISSIPPI,DEMOCRAT,0.40161112592821346
2008,MISSISSIPPI,REPUBLICAN,0.5617618898101739
2008,MISSISSIPPI,DEMOCRAT,0.43001554426238403
2012,MISSISSIPPI,REPUBLICAN,0.5528584674358112
2012,MISSISSIPPI,DEMOCRAT,0.4378935954398935
2016,MISSISSIPPI,REPUBLICAN,0.5794103808883564
2016,MISSISSIPPI,DEMOCRAT,0.40114788271784096
2020,MISSISSIPPI,DEMOCRAT,0.41057606455978607
2020,MISSISSIPPI,REPUBLICAN,0.5760295457538255
