year,state,party_detailed,percent_votes
1992,MISSOURI,DEMOCRAT,0.4407168575694087
1992,MISSOURI,REPUBLICAN,0.3392168178415654
1996,MISSOURI,DEMOCRAT,0.4753957827961623
1996,MISSOURI,REPUBLICAN,0.41241389856190613
2000,MISSOURI,REPUBLICAN,0.5042281595937441
2000,MISSOURI,DEMOCRAT,0.47084273348102373
2004,MISSOURI,REPUBLICAN,0.5329619193926551
2004,MISSOURI,DEMOCRAT,0.46100446516831883
2008,MISSOURI,REPUBLICAN,0.49426074411878823
2008,MISSOURI,DEMOCRAT,0.49292647865705136
2012,MISSOURI,REPUBLICAN,0.5376374113587709
2012,MISSOURI,DEMOCRAT,0.4438348354545333
2016,MISSOURI,REPUBLICAN,0.5677234783816165
2016,MISSOURI,DEMOCRAT,0.3813523083523671
2020,MISSOURI,REPUBLICAN,0.5679965577888949
2020,MISSOURI,DEMOCRAT,0.4140878173618836
