year,state,party_detailed,percent_votes
1992,NEW JERSEY,DEMOCRAT,0.42953959123027496
1992,NEW JERSEY,REPUBLICAN,0.40581033462794824
1996,NEW JERSEY,DEMOCRAT,0.5372029286118354
1996,NEW JERSEY,REPUBLICAN,0.3586310820388444
2000,NEW JERSEY,DEMOCRAT,0.5612560891508792
2000,NEW JERSEY,REPUBLICAN,0.40291243859079967
2004,NEW JERSEY,DEMOCRAT,0.5292340900702746
2004,NEW JERSEY,REPUBLICAN,0.4623881168128724
2008,NEW JERSEY,DEMOCRAT,0.5727213715188599
2008,NEW JERSEY,REPUBLICAN,0.4170393385927491
2012,NEW JERSEY,DEMOCRAT,0.5834235491063761
2012,NEW JERSEY,REPUBLICAN,0.4062356482714438
2016,NEW JERSEY,DEMOCRAT,0.554530844496942
2016,NEW JERSEY,REPUBLICAN,0.4135038665002945
2020,NEW JERSEY,REPUBLICAN,0.41396523857348505
2020,NEW JERSEY,DEMOCRAT,0.5733419675281298
