year,state,party_detailed,percent_votes
1992,NORTH DAKOTA,REPUBLICAN,0.442159716745691
1992,NORTH DAKOTA,DEMOCRAT,0.32183505174713517
1996,NORTH DAKOTA,REPUBLICAN,0.46938752528987165
1996,NORTH DAKOTA,DEMOCRAT,0.4012784757386144
2000,NORTH DAKOTA,REPUBLICAN,0.6065858126110124
2000,NORTH DAKOTA,DEMOCRAT,0.3305533969804618
2004,NORTH DAKOTA,REPUBLICAN,0.6286133496146507
2004,NORTH DAKOTA,DEMOCRAT,0.3549881246543683
2008,NORTH DAKOTA,REPUBLICAN,0.5325010027761898
2008,NORTH DAKOTA,DEMOCRAT,0.44620540014717913
2012,NORTH DAKOTA,REPUBLICAN,0.5831568255855722
2012,NORTH DAKOTA,DEMOCRAT,0.38697310888979725
2016,NORTH DAKOTA,REPUBLICAN,0.629556278313393
2016,NORTH DAKOTA,DEMOCRAT,0.27226739458706006
2020,NORTH DAKOTA,REPUBLICAN,0.6511404873707572
2020,NORTH DAKOTA,DEMOCRAT,0.31756762359080093
