year,state,party_detailed,percent_votes
1992,PENNSYLVANIA,DEMOCRAT,0.45146164873251193
1992,PENNSYLVANIA,REPUBLICAN,0.3612721051814485
1996,PENNSYLVANIA,DEMOCRAT,0.492261247677619
1996,PENNSYLVANIA,REPUBLICAN,0.40014355830428805
2000,PENNSYLVANIA,DEMOCRAT,0.5060817131276611
2000,PENNSYLVANIA,REPUBLICAN,0.4643813292862545
2004,PENNSYLVANIA,DEMOCRAT,0.5092380914415062
2004,PENNSYLVANIA,REPUBLICAN,0.484236661530542
2008,PENNSYLVANIA,DEMOCRAT,0.5448552801203738
2008,PENNSYLVANIA,REPUBLICAN,0.4416705247991443
2012,PENNSYLVANIA,DEMOCRAT,0.520768577021407
2012,PENNSYLVANIA,REPUBLICAN,0.46680866033674445
2016,PENNSYLVANIA,REPUBLICAN,0.4857788580374602
2016,PENNSYLVANIA,DEMOCRAT,0.4785361616456285
2020,PENNSYLVANIA,REPUBLICAN,0.4884361204017247
2020,PENNSYLVANIA,DEMOCRAT,0.5000849567544814
