year,state,party_detailed,percent_votes
1992,SOUTH CAROLINA,REPUBLICAN,0.46993356725298474
1992,SOUTH CAROLINA,DEMOCRAT,0.4276254117463252
1996,SOUTH CAROLINA,REPUBLICAN,0.498476762807973
1996,SOUTH CAROLINA,DEMOCRAT,0.44006252923450373
2000,SOUTH CAROLINA,REPUBLICAN,0.5686038462261056
2000,SOUTH CAROLINA,DEMOCRAT,0.40901523373764903
2004,SOUTH CAROLINA,REPUBLICAN,0.5798194968164678
2004,SOUTH CAROLINA,DEMOCRAT,0.40901835939914694
2008,SOUTH CAROLINA,REPUBLICAN,0.5387364397863786
2008,SOUTH CAROLINA,DEMOCRAT,0.4489656001736624
2012,SOUTH CAROLINA,REPUBLICAN,0.5456113125586141
2012,SOUTH CAROLINA,DEMOCRAT,0.4408803340736147
2016,SOUTH CAROLINA,REPUBLICAN,0.5493933268569543
2016,SOUTH CAROLINA,DEMOCRAT,0.4067341978966509
2020,SOUTH CAROLINA,REPUBLICAN,0.5509348091719648
2020,SOUTH CAROLINA,DEMOCRAT,0.43416838497813925
