year,state,party_detailed,percent_votes
1992,TENNESSEE,DEMOCRAT,0.47084793088803906
1992,TENNESSEE,REPUBLICAN,0.42433364033171966
1996,TENNESSEE,DEMOCRAT,0.4799871179264085
1996,TENNESSEE,REPUBLICAN,0.4559039757563599
2000,TENNESSEE,REPUBLICAN,0.5114915318076796
2000,TENNESSEE,DEMOCRAT,0.4728489471775341
2004,TENNESSEE,REPUBLICAN,0.5679908949136325
2004,TENNESSEE,DEMOCRAT,0.4252529110879618
2008,TENNESSEE,REPUBLICAN,0.5689695428289423
2008,TENNESSEE,DEMOCRAT,0.4182853806271298
2012,TENNESSEE,REPUBLICAN,0.5947871471993759
2012,TENNESSEE,DEMOCRAT,0.39075814993795194
2016,TENNESSEE,REPUBLICAN,0.6072203369421462
2016,TENNESSEE,DEMOCRAT,0.34716332798650096
2020,TENNESSEE,REPUBLICAN,0.6066029416628381
2020,TENNESSEE,DEMOCRAT,0.37451434271023704
