year,state,party_detailed,percent_votes
1992,TEXAS,REPUBLICAN,0.40560021111410466
1992,TEXAS,DEMOCRAT,0.37078458334051023
1996,TEXAS,REPUBLICAN,0.48758741645050896
1996,TEXAS,DEMOCRAT,0.43831771937065145
2000,TEXAS,REPUBLICAN,0.5929859946810345
2000,TEXAS,DEMOCRAT,0.37981958091571044
2004,TEXAS,REPUBLICAN,0.6108582276906154
2004,TEXAS,DEMOCRAT,0.3822426046274135
2008,TEXAS,REPUBLICAN,0.5545236045232641
2008,TEXAS,DEMOCRAT,0.4368312144588963
2012,TEXAS,REPUBLICAN,0.5716697746805639
2012,TEXAS,DEMOCRAT,0.41383358283760857
2016,TEXAS,REPUBLICAN,0.5223468557933538
2016,TEXAS,DEMOCRAT,0.4323525798101196
2020,TEXAS,REPUBLICAN,0.5205760360355265
2020,TEXAS,DEMOCRAT,0.4647900991387051
