year,state,party_detailed,percent_votes
1992,VERMONT,DEMOCRAT,0.46113751764750555
1992,VERMONT,REPUBLICAN,0.30418258825478683
1996,VERMONT,DEMOCRAT,0.5335443356329489
1996,VERMONT,REPUBLICAN,0.31090079667555304
2000,VERMONT,DEMOCRAT,0.5063470921619528
2000,VERMONT,REPUBLICAN,0.4069716079753184
2004,VERMONT,DEMOCRAT,0.5893746257712714
2004,VERMONT,REPUBLICAN,0.38801315363950445
2008,VERMONT,DEMOCRAT,0.6745568319560924
2008,VERMONT,REPUBLICAN,0.30449228724549754
2012,VERMONT,DEMOCRAT,0.665705503023823
2012,VERMONT,REPUBLICAN,0.3097263523672692
2016,VERMONT,DEMOCRAT,0.5572274212321393
2016,VERMONT,REPUBLICAN,0.29759382401308093
2020,VERMONT,DEMOCRAT,0.6545578055250049
2020,VERMONT,REPUBLICAN,0.3038105712622113
