year,state,party_detailed,percent_votes
1992,WEST VIRGINIA,DEMOCRAT,0.4841482161898089
1992,WEST VIRGINIA,REPUBLICAN,0.35393029164356854
1996,WEST VIRGINIA,DEMOCRAT,0.515055958042859
1996,WEST VIRGINIA,REPUBLICAN,0.3675743449303097
2000,WEST VIRGINIA,REPUBLICAN,0.5191521992705099
2000,WEST VIRGINIA,DEMOCRAT,0.4559266436669526
2004,WEST VIRGINIA,REPUBLICAN,0.5607071786946674
2004,WEST VIRGINIA,DEMOCRAT,0.43205141097021404
2008,WEST VIRGINIA,REPUBLICAN,0.5571034310695478
2008,WEST VIRGINIA,DEMOCRAT,0.42589750382296754
2012,WEST VIRGINIA,REPUBLICAN,0.6229584241943327
2012,WEST VIRGINIA,DEMOCRAT,0.3553930415638732
2016,WEST VIRGINIA,REPUBLICAN,0.6863057481161936
2016,WEST VIRGINIA,DEMOCRAT,0.26476928017771517
2020,WEST VIRGINIA,DEMOCRAT,0.29696521244519614
2020,WEST VIRGINIA,REPUBLICAN,0.6863155192461606
