year,state,party_detailed,percent_votes
1992,WYOMING,REPUBLICAN,0.3969652398391067
1992,WYOMING,DEMOCRAT,0.34099777871165277
1996,WYOMING,REPUBLICAN,0.4981211980848037
1996,WYOMING,DEMOCRAT,0.3683586124752447
2000,WYOMING,REPUBLICAN,0.6922274313841086
2000,WYOMING,DEMOCRAT,0.282983820405566
2004,WYOMING,REPUBLICAN,0.6873956885274808
2004,WYOMING,DEMOCRAT,0.2902309102316484
2008,WYOMING,REPUBLICAN,0.6471377459749553
2008,WYOMING,DEMOCRAT,0.32509493770203685
2012,WYOMING,REPUBLICAN,0.6819358518713527
2012,WYOMING,DEMOCRAT,0.2763690611525283
2016,WYOMING,REPUBLICAN,0.6739841105460841
2016,WYOMING,DEMOCRAT,0.2162890087639303
2020,WYOMING,DEMOCRAT,0.26387866557990397
2020,WYOMING,REPUBLICAN,0.6949978994840271
