name,abbr,votes,pop,pref_can,pref_percent
Alabama,al,9,5108468,Trump,0.188756641168
Alaska,ak,3,733406,Trump,0.0512709563372
Arizona,az,11,7341344,Biden,0.173199394181
Arkansas,ar,6,3067732,Trump,0.194741367521
California,ca,54,38965193,Biden,0.195215700972
Colorado,co,10,5877610,Biden,0.140773071423
Connecticut,ct,7,3617176,Biden,0.135342867192
Delaware,de,3,1031890,Biden,0.136450358402
District of Columbia,dc,3,678972,Biden,0.160111501174
Florida,fl,30,22610726,Biden,0.17080725778
Georgia,ga,16,11029227,Biden,0.10205844943
Hawaii,hi,4,1435138,Biden,0.191225543951
Idaho,id,4,1964726,Trump,0.179894998941
Illinois,il,19,12548689,Biden,0.103702232587
Indiana,in,11,6862199,Trump,0.196093711751
Iowa,ia,6,1964726,Biden,0.118340450985
Kansas,ks,6,2940546,Trump,0.154424625103
Kentucky,ky,8,4526154,Trump,0.159799143121
Louisiana,la,8,4573749,Trump,0.152261364446
Maine,me,4,1395722,Biden,0.117923286427
Maryland,md,10,6180253,Biden,0.195419343599
Massachusetts,ma,11,7001399,Biden,0.189875911927
Michigan,mi,15,10037261,Biden,0.129214464854
Minnesota,mn,10,5737915,Biden,0.131164906341
Mississippi,ms,6,2939690,Trump,0.166266516538
Missouri,mo,10,6196156,Trump,0.169433864484
Montana,mt,4,1132812,Trump,0.0553945713497
Nebraska,ne,5,1978379,Trump,0.191436875458
Nevada,nv,6,3194176,Biden,0.116544901243
New Hampshire,nh,4,1402054,Biden,0.103177917514
New Jersey,nj,14,8882190,Biden,0.115549116086
New Mexico,nm,5,2114371,Biden,0.116259166101
New York,ny,28,19571216,Biden,0.190454656588
North Carolina,nc,16,10550000,Biden,0.194888553725
North Dakota,nd,3,783926,Trump,0.0515714592843
Ohio,oh,17,11785935,Biden,0.180839734812
Oklahoma,ok,7,4063824,Trump,0.164046725484
Oregon,or,8,4233358,Biden,0.131877873568
Pennsylvania,pa,19,12960000,Biden,0.168423302651
Rhode Island,ri,4,1095962,Biden,0.144360637129
South Carolina,sc,9,5373555,Trump,0.177134804158
South Dakota,sd,3,919318,Trump,0.157046211249
Tennessee,tn,11,7126489,Trump,0.190109849038
Texas,tx,40,30503301,Trump,0.153727532184
Utah,ut,6,3417734,Trump,0.0818205205632
Vermont,vt,3,64764,Biden,0.188550820367
Virginia,va,13,8715698,Biden,0.105979712297
Washington,wa,12,7812880,Biden,0.135662239361
West Virginia,wv,4,1770071,Trump,0.188612238465
Wisconsin,wi,10,5910955,Biden,0.118485445553
Wyoming,wy,3,584057,Trump,0.159935784077
